id,question,topic_id
1,HTTPリクエストとレスポンスをそれぞれ説明してください,1
2,HTTP リクエストメソッドで代表的なものを4つ挙げて、それぞれリソースに対して何をするか説明してください,1
3,ステータスコードで 200、301、400、404、500 がそれぞれ何を表すか説明してください,1
4,IPアドレスとポート番号が何かについて説明してください,1
5,URL http://example.com:80/test.html の中で ① http、② example.com、③ 80、④ test.html はそれぞれ何ですか,1
6,DNS はなぜ必要ですか？また、nslookup コマンドを使って、google.com の IP アドレスを調べてください,1
7,何でもいいので、JSON データの例を出してください,1
8,Web アプリケーションにおける三層構造はプレゼンテーション層、アプリケーション層、データ層ですが、それぞれの層の役割について説明してください,1
9,三層構造のメリットを教えてください,1
10,MVC モデルはモデル、コントローラー、ビューの3つからなりますが、それぞれの役割について説明してください,1
11,フレームワークとは何ですか？また、何のために作られましたか？,1
12,Web サーバーの役割は何ですか？,1
13,Web クライアントと Web サーバーがありますが、それぞれ代表的な例を2つずつ挙げてください,1
14,アプリケーションサーバーの役割は何ですか？,1
15,データベースサーバーの役割は何ですか？,1
